,match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
0,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.118,5.543,1,124.0,C,CTL,D
1,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:00:35,1,1,2,0,0,0,0,0,15,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.934,4.335,1,119.0,C,NCTL,ND
2,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:00:56,1,1,3,0,0,0,0,0,30,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.848,11.198,2,110.0,W,CTL,ND
3,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:01:24,1,1,4,0,0,0,0,15,30,2,1,2,1,3,0,0,0,0,0,1,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.017,8.471,3,120.0,BC,NCTL,ND
4,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:01:48,1,1,5,0,0,0,0,15,40,2,1,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.868,3.419,1,112.0,W,CTL,ND
5,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:02:35,1,2,6,0,0,0,1,0,0,1,1,2,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,59.314,64.077,16,124.0,C,NCTL,D
6,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:03:18,1,2,7,0,0,0,1,0,15,1,2,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.501,15.536,4,93.0,BW,NCTL,ND
7,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:03:58,1,2,8,0,0,0,1,0,30,1,2,2,1,7,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.307,29.811,8,96.0,B,NCTL,D
8,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:04:42,1,2,9,0,0,0,1,0,40,1,2,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.697,8.033,3,93.0,BW,NCTL,ND
9,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:05:19,1,2,10,0,0,0,1,15,40,1,1,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.474,6.935,1,116.0,W,CTL,ND
10,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:05:43,1,2,11,0,0,0,1,30,40,1,2,1,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,26.331,26.915,7,93.0,BW,NCTL,ND
11,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:06:31,1,2,12,0,0,0,1,40,40,1,2,1,5,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.018,14.897,5,99.0,BC,NCTL,ND
12,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:07:08,1,2,13,0,0,0,1,AD,40,1,1,1,6,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666,0.63,1,129.0,W,CTL,
13,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:07:36,1,3,14,0,0,1,1,0,0,2,2,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,21.295,20.375,5,89.0,BC,NCTL,ND
14,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:08:18,1,3,15,0,0,1,1,0,15,2,2,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.083,4.933,1,106.0,C,CTL,D
15,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:09:00,1,3,16,0,0,1,1,0,30,2,2,2,6,10,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,17.805,15.149,5,99.0,BW,NCTL,ND
16,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:09:41,1,3,17,0,0,1,1,0,40,2,2,2,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.64,14.975,5,101.0,C,NCTL,D
17,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:11:35,1,4,18,0,0,1,2,0,0,1,2,2,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.016,33.222,8,95.0,C,NCTL,ND
18,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:12:16,1,4,19,0,0,1,2,0,15,1,1,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.746,14.996,1,125.0,C,NCTL,D
19,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:12:38,1,4,20,0,0,1,2,15,15,1,2,1,8,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.889,11.485,3,103.0,B,NCTL,D
20,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:13:15,1,4,21,0,0,1,2,30,15,1,1,2,8,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12.752,17.696,4,118.0,C,NCTL,ND
21,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:13:42,1,4,22,0,0,1,2,30,30,1,1,1,9,13,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655,0.821,1,127.0,C,NCTL,
22,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:14:14,1,4,23,0,0,1,2,40,30,1,2,1,10,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.594,18.094,5,98.0,B,NCTL,ND
23,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:15:02,1,5,24,0,0,2,2,0,0,2,1,2,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.361,37.42,9,123.0,BC,CTL,D
24,2023-wimbledon-1316,Stan Wawrinka,Novak Djokovic,00:15:40,1,5,25,0,0,2,2,0,15,2,1,2,10,15,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,26.3,25.855,5,120.0,C,CTL,D
